"X","slug","num","lat","id","name","latest","num_maintainers","modified","created","license","readme","revisions","downloads","num_badges","stars","active_age","age","dependents","pr_makers","size","forks","contributors","num_prs","num_issues","commits","all_downloads","yearly_downloads","num_tools","dependencies","ght_age","hasBadge","hasQABadge","hasCovBadge","hasCIBadge","hasDepMgrBadge","hasInfoBadge","hasPopularityBadge","hasSupportBadge","hasOther"
11,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
12,"6to5/6to5",95,980,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
13,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
14,"6to5/6to5",95,1,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
15,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
16,"6to5/6to5",95,22,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
17,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
18,"6to5/6to5",95,7,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
19,"6to5/6to5",95,397,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
20,"6to5/6to5",95,2,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
21,"6to5/6to5",95,2,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
22,"6to5/6to5",95,8,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
